//======================= About page,//=================== Am dudalen
About,Ynghylch
You can find more information on dangerous goods and how UPS can support you shipping them on this link <br /><a target='_blank' href=https://www.ups.com/%1/%2/help-center/packaging-and-supplies/special-care-shipments/global-dangerous-goods.page>[https://www.ups.com/%1/%2/help-center/packaging-and-supplies/special-care-shipments/global-dangerous-goods.page]</a>,Gallwch ddod o hyd i ragor o wybodaeth am nwyddau peryglus a sut y gall UPS eich cefnogi i'w cludo ar y ddolen hon <br /><a target='_blank' href=https://www.ups.com/%1/%2/help- center/packaging-and-supplies/special-care-shipments/global-dangerous-goods.page>[ https://www.ups.com/%1/%2/help-center/packaging-and-supplies/special -care-shipments/global-dangerous-goods.page]</a>
"Reference name that will be associate with an account. For example warehouse 1, warehouse 2,  Store 1, Store 2 etc. You can freely chose the name as per your requirement","Enw cyfeirnod a fydd yn gysylltiedig â chyfrif. Er enghraifft warws 1, warws 2, Storfa 1, Storfa 2 ac ati. Gallwch ddewis yr enw yn rhydd yn unol â'ch gofyniad"
The postal code or zip code associated with your UPS account. It can be found on the top on each page of your UPS invoice under 'Purchaser',Y cod post neu god zip sy'n gysylltiedig â'ch cyfrif UPS. Mae i'w weld ar y brig ar bob tudalen o'ch anfoneb UPS o dan 'Prynnwr'
The name associated with your UPS account. It can be found on the top on each page of your UPS invoice under 'Purchaser',Yr enw sy'n gysylltiedig â'ch cyfrif UPS. Mae i'w weld ar y brig ar bob tudalen o'ch anfoneb UPS o dan 'Prynnwr'
A unique six character alphanumeric number that identifies your account. It can be found on the top left side on each page of your UPS invoice,Rhif alffaniwmerig chwe nod unigryw sy'n adnabod eich cyfrif. Mae i'w weld ar yr ochr chwith uchaf ar bob tudalen o'ch anfoneb UPS
A unique 12 digit number assigned by UPS to an invoice. It can be found on the top left side on each page of your UPS invoice,Rhif 12 digid unigryw a neilltuwyd gan UPS i anfoneb. Mae i'w weld ar yr ochr chwith uchaf ar bob tudalen o'ch anfoneb UPS
Total Amount Due for the given invoice. It can be found on the 'Summary of Charges' table on the first page on the invoice,Cyfanswm sy'n ddyledus ar gyfer yr anfoneb a roddwyd. Mae i'w weld ar y tabl 'Crynodeb o Daliadau' ar dudalen gyntaf yr anfoneb
Date of issuing the invoice. It can be found on the top left side on each page of your UPS invoice,Dyddiad cyhoeddi'r anfoneb. Mae i'w weld ar yr ochr chwith uchaf ar bob tudalen o'ch anfoneb UPS
Get started,Dechrau
Some of the data you entered is not valid. Please check again.,Nid yw peth o'r data a roesoch yn ddilys. Gwiriwch eto.
Cannot create new Account Number,Methu creu Rhif Cyfrif newydd
Email is not correct format,Nid yw e-bost yn fformat cywir
Your request to create a UPS Shipping Account was not successful. Please check the 'City' and 'Postal code' values that you entered. Here are some suggestions on the City and Postal code that are a valid combination -,Nid oedd eich cais i greu Cyfrif Llongau UPS yn llwyddiannus. Gwiriwch y gwerthoedd ‘Dinas’ a ‘Cod post’ y gwnaethoch chi eu nodi. Dyma rai awgrymiadau ar god y Ddinas a'r Post sy'n gyfuniad dilys -
Please update the city and postal code values with one of these selections and click Get Started,Diweddarwch y gwerthoedd dinas a chod post gydag un o'r dewisiadau hyn a chliciwch ar Dechrau Arni
Configuration,Cyfluniad
//======================= Account Success Page,//==================== Tudalen Llwyddiant Cyfrif
Your UPS Profile,Eich Proffil UPS
Your Payment Account,Eich Cyfrif Talu
Add another account number,Ychwanegu rhif cyfrif arall
Please enter the address attached to your account number,Rhowch y cyfeiriad sydd ynghlwm wrth rif eich cyfrif
Phone,Ffon
Verify,Gwirio
Next,Nesaf
Remove,Dileu
Account number already exists in 'Your Payment Account',Mae rhif cyfrif eisoes yn bodoli yn 'Eich Cyfrif Talu'
Full name:,Enw llawn:
Remove Account,Dileu Cyfrif
"This account will be removed. Click Ok to confirm, close the dialog to cancel.","Bydd y cyfrif hwn yn cael ei ddileu. Cliciwch Iawn i gadarnhau, caewch yr ymgom i ganslo."
Your UPS account has been successfull registered,Mae'ch cyfrif UPS wedi'i gofrestru'n llwyddiannus
//======================= Shipping Services page,//==================== Tudalen Gwasanaethau Llongau
Shipping Services,Gwasanaethau Llongau
"Select the UPS services you want to be visible in the checkout for your e-shoppers. To learn more about UPS services, refer UPS Tariff/Terms and Conditions of Service on UPS.COM","Dewiswch y gwasanaethau UPS rydych chi am eu gweld yn y ddesg dalu ar gyfer eich e-siopwyr. I ddysgu mwy am wasanaethau UPS, cyfeiriwch Tariff UPS / Telerau ac Amodau Gwasanaeth ar UPS.COM"
Deliver to UPS Access Point™ (to-AP delivery),Cludo i leoliad Pwynt Mynediad UPS™ (dosbarthiad i AP)
"UPS delivers the parcel to a UPS Access Point™ that the customer selected, then customer picks up their order there",Mae UPS yn danfon y parsel i leoliad Pwynt Mynediad UPS™ a ddewisir gan y cwsmer iddynt ei gasglu yn ôl ei gyfleustra
Yes,Oes
No,Nac ydw
Set as default shipping option,Gosod fel opsiwn cludo diofyn
Select the shipping services for your customers to choose,Dewiswch y gwasanaethau cludo i'ch cwsmeriaid eu dewis
"International shipping only - visible, when shipping address is outside of EU","Llongau rhyngwladol yn unig - yn weladwy, pan fo'r cyfeiriad cludo y tu allan i'r UE"
Access Point display setting:,Gosodiad arddangos Pwynt Mynediad UPS:
Number of Access Points visible to customers:,Nifer y lleoliadau sy'n weladwy i gwsmeriaid:
Display all the Access Points in range of:,Arddangos yr holl leoliadau mewn ystod o:
kilometer around consignee's selected address,Milltiroedd o gwmpas cyfeiriad dethol y traddodai
Choose Account Number for this option,Dewiswch Rhif Cyfrif ar gyfer yr opsiwn hwn
Deliver to consignee address (to-address delivery),Dosbarthu i gyfeiriad y traddodai (dosbarthiad i gyfeiriad)
UPS delivers the parcel to the shipping address provided by customer.,Mae UPS yn danfon y parsel i'r cyfeiriad cludo a ddarperir gan y cwsmer.
Cut off time,Torri i ffwrdd amser
"The cut off time selected here will be used in calculating the schedule delivery date and time, which will be displayed on your website checkout.","Bydd yr amser terfyn a ddewisir yma yn cael ei ddefnyddio i gyfrifo dyddiad ac amser dosbarthu'r amserlen, a fydd yn cael ei arddangos ar ddesg dalu eich gwefan."
"For example, if the cut off time is selected as 5 PM and your e-shoppers views your webstore at 5.01 PM, all UPS scheduled delivery dates and time will be calculated from the following business day. When deciding this cut off time, please ensure that you have sufficient time to fulfill the order before the UPS scheduled pick up or you are able to drop off the packages at a UPS Access Point™.","Er enghraifft, os dewisir yr amser cau fel 5 PM a bod eich e-siopwyr yn gweld eich siop we am 5:01 PM, bydd yr holl ddyddiadau ac amser dosbarthu a drefnwyd gan UPS yn cael eu cyfrifo o'r diwrnod busnes canlynol. Wrth benderfynu ar yr amser terfyn hwn, sicrhewch fod gennych ddigon o amser i gyflawni'r archeb cyn y codiad a drefnwyd gan UPS neu gallwch ollwng y pecynnau mewn lleoliad Pwynt Mynediad UPS™."
"If you are unsure about fulfilling customer orders on the same day, you can select 'Disable' which will result in the e-shopper seeing a generic delivery schedule for each available UPS service. For Example; 'UPS® Standard - In most cases, delivered within 1 to 3 business days in Europe.'","Os ydych yn ansicr ynghylch llenwi archebion cwsmeriaid ar yr un diwrnod, gallwch ddewis 'Analluogi' a fydd yn golygu y bydd yr e-siopwr yn gweld dyddiadau dosbarthu bras ar gyfer pob gwasanaeth sydd ar gael."
Save,Arbed
Please select at least one shipping service.,Dewiswch o leiaf un gwasanaeth cludo.
UPS Access Point™ Economy,Economi Pwynt Mynediad UPS™
UPS® Standard,UPS® Safonol
UPS Expedited®,UPS Cyflym ®
UPS Express Saver®,UPS Express Saver®
UPS Express®,UPS Express®
UPS Express Plus®,UPS Express Plus®
//======================= Collect on Delivery (COD) page,//====================Tudalen Casglu wrth Gyflwyno (COD)
Collect on Delivery (COD),Casglu wrth ddosbarthu (COD)
You have the official Magento COD module enabled!,Mae gennych y modiwl COD Magento swyddogol wedi'i alluogi!
Only show Access Points supporting COD shipments?,Dim ond yn dangos Pwyntiau Mynediad sy'n cefnogi llwythi COD?
Select 'YES' if you plan to offer COD shipments to a UPS Access Point™,Dewiswch 'YDW' os ydych chi'n bwriadu cynnig llwythi COD i Bwynt Mynediad UPS™
The COD Shipping service of this plug-in is automatically compatible with the official Collect on Delivery (COD) module by Magento.,Mae gwasanaeth COD Shipping yr ategyn hwn yn gydnaws yn awtomatig â modiwl swyddogol Collect on Delivery (COD) gan Magento.
You do not have the official Magento COD module installed and/or enabled!,Nid oes gennych y modiwl COD Magento swyddogol wedi'i osod a/neu ei alluogi!
The COD Shipping service of this plugin is automatically compatible with the official Cash on Delivery (COD) module by Magento.,Mae gwasanaeth COD Shipping yr ategyn hwn yn gydnaws yn awtomatig â'r modiwl Arian Parod Wrth Gyflenwi (COD) swyddogol gan Magento.
"If you want the UPS Shipping module to automatically detect COD shipments, <strong>please make sure that you have installed Magento's Collect on Delivery (COD)</strong>. If you already have Magento's Collect on Delivery (COD) module installed, <strong>please make sure that the module is enabled</strong>. [<a href='https://docs.magento.com/m2/ce/user_guide/payment/cash-on-delivery.html' target='_blank'>Click here</a>] for detailed guidance.","Os ydych chi am i'r modiwl Llongau UPS ganfod llwythi COD yn awtomatig, <strong>gwnewch yn siŵr eich bod wedi gosod Magento's Collect on Delivery (COD)</strong>. Os oes gennych fodiwl Collect on Delivery (COD) Magento eisoes wedi'i osod, <strong>gwnewch yn siŵr bod y modiwl wedi'i alluogi</strong>. [<a href='https://docs.magento.com/m2/ce/user_guide/payment/cash-on-delivery.html' target='_blank'>Cliciwch yma</a>] am arweiniad manwl."
COD Option,Opsiwn COD
//======================= Package Dimensions page,//==================== Tudalen Dimensiynau Pecyn
Package Dimensions,Dimensiynau Pecyn
Default Package Setting,Gosod Pecyn Rhagosodedig
Default package setting,Gosodiad pecyn diofyn
"Please enter weight and dimensions of your packaging here. You can add multiple package dimensions, which can be easily selected in a dropdown option when creating shipments in the plug-in.","Nodwch bwysau a dimensiynau eich deunydd pacio yma. Gallwch ychwanegu dimensiynau pecyn lluosog, y gellir eu dewis yn hawdd mewn opsiwn cwymplen wrth greu llwythi yn y plug-in."
"In case you decide to show the real time UPS shipping rate (to be configured in the next screen) to the e-shoppers, the plug-in will use the first package, referred to as the 'Default Package' that is displayed below. The Default Package's weight and dimensions will be used to calculate the UPS shipping rates that will be displayed to the e-shoppers.","Rhag ofn y byddwch yn penderfynu dangos y gyfradd cludo UPS amser real (i'w ffurfweddu yn y sgrin nesaf) i'r e-siopwyr, bydd yr ategyn yn defnyddio'r pecyn cyntaf, y cyfeirir ato fel y 'Pecyn Diofyn' a ddangosir isod. Bydd pwysau a dimensiynau'r Pecyn Diofyn yn cael eu defnyddio i gyfrifo'r cyfraddau cludo UPS a fydd yn cael eu harddangos i'r e-siopwyr."
Add New Package,Ychwanegu Pecyn Newydd
Package name,Enw pecyn
"Example: Standard, Large, Phone box, etc.","Enghraifft: Safonol, Mawr, Blwch Ffôn, ac ati."
Weight,Pwysau
Unit,Uned
Dimension,Dimensiwn
Add Package,Ychwanegu Pecyn
Length,Hyd
Width,Lled
Height,Uchder
The name Package is exist.,Mae'r enw Pecyn yn bodoli.
Edit,Golygu
Delete,Dileu
Editing Default Package,Golygu Pecyn Diofyn
Remove Package,Dileu Pecyn
"You are going to remove this default package from your profile. Click Ok to confirm, close the dialog to cancel.","Rydych chi'n mynd i dynnu'r pecyn rhagosodedig hwn o'ch proffil. Cliciwch Iawn i gadarnhau, caewch yr ymgom i ganslo."
OK,iawn
Please input at least one default package to continue.,Rhowch o leiaf un pecyn rhagosodedig i barhau.
Please select an option,Dewiswch opsiwn
Basic (number of items in the e-shopper order determine the package size),Sylfaenol (mae nifer yr eitemau yn yr archeb e-siopwr yn pennu maint y pecyn)
Advanced (weights and dimensions of products in the e-shopper order determine the package size),Uwch (pwysau a dimensiynau cynhyrchion yn y drefn e-siopwr sy'n pennu maint y pecyn)
Package dimensions:,Dimensiynau pecyn:
Note: the plugin will create a custom package size if an e-shopper order is larger than the packages you enter,Sylwch: bydd yr ategyn yn creu maint pecyn wedi'i deilwra os yw archeb e-siopwr yn fwy na'r pecynnau rydych chi'n eu nodi
Warning! To use this option you must enter product weights in the product settings of your shop.,Rhybudd! I ddefnyddio'r opsiwn hwn rhaid i chi nodi pwysau cynnyrch yng ngosodiadau cynnyrch eich siop.
Include dimensions in rating,Cynnwys dimensiynau yn y sgôr
Yes,Oes
No,Nac ydw
Number of items in order,Nifer o eitemau mewn trefn
Add Backup Rate,Ychwanegu Cyfradd Wrth Gefn
"If set to “No”, rates will be based on product weights only.&nbsp; If set to “Yes”, product dimensions must be entered in the product settings of your shop","Os cânt eu gosod i “Na”, bydd y cyfraddau'n seiliedig ar bwysau'r cynnyrch yn unig.&nbsp; Os caiff ei osod i “Ie”, rhaid nodi dimensiynau cynnyrch yng ngosodiadau cynnyrch eich siop"
Name,Enw
Length,Hyd
Width,Lled
Height,Uchder
Weight,Pwysau
Max Weight,Pwysau Uchaf
Backup rate:,Cyfradd wrth gefn:
Service Name,Enw Gwasanaeth
Rate,Cyfradd
Add Backup Rate,Ychwanegu Cyfradd Wrth Gefn
"Backup rate will only display to e-shoppers if there is an issue within product settings, such as weights missing or if weights/dimensions exceed UPS limits","Bydd y Gyfradd Wrth Gefn yn cael ei harddangos i e-siopwyr dim ond os oes problem o fewn gosodiadau cynnyrch, megis pwysau ar goll neu os yw pwysau / dimensiynau yn fwy na therfynau UPS."
Add default packages if you would like the package size used for rating to change based on the number of items in the e-shopper’s order,Ychwanegwch becynnau rhagosodedig os hoffech i faint y pecyn a ddefnyddir ar gyfer graddio newid yn seiliedig ar nifer yr eitemau yn archeb yr e-siopwr
"Note: if the number of items in the e-shopper order do not match any of your entries, then the size of the package used for rating will be based on that of the highest item count exceeded by the e-shopper order.","Sylwch: os nad yw nifer yr eitemau yn yr archeb e-siopwr yn cyfateb i unrhyw un o'ch cofnodion, yna bydd maint y pecyn a ddefnyddir ar gyfer graddio yn seiliedig ar y nifer uchaf o eitemau y mae'r archeb e-siopwr yn mynd y tu hwnt iddo."
//======================= Checkout Shipping Rates page,//==================== Tudalen Cyfraddau Cludo Talu
Checkout Shipping Rates,Cyfraddau Cludo Desg
Ship to UPS Access Point&trade;,Cludo i leoliad Pwynt Mynediad UPS™
Flat rates,Cyfraddau gwastad
Real time shipping rates,Cyfraddau cludo amser real
Delivery rates is,Cyfraddau dosbarthu yw
% of UPS shipping rates,% o gyfraddau cludo UPS
The e-shopper will see the % of real time UPS rates. These rates are calculated using the default package weight and dimensions that you configured in the previous screen (Package Dimensions).,Bydd yr e-siopwr yn gweld % cyfraddau amser real UPS. Mae'r cyfraddau hyn yn cael eu cyfrifo gan ddefnyddio'r pwysau pecyn rhagosodedig a dimensiynau y gwnaethoch chi eu ffurfweddu yn y sgrin flaenorol (Dimensiynau Pecyn).
Ship to Address,Llong i'r Cyfeiriad
Order Value Threshold,Trothwy Gwerth Archeb
Delivery rates,Cyfraddau dosbarthu
The minimum thresholds can not be the same.,Ni all y trothwyon lleiaf fod yr un peth.
//======================= Complete Configuration page,//==================== Tudalen Ffurfweddu Cwblhau
Complete Configuration,Cyfluniad Cyflawn
You can start shipping now!,Gallwch chi ddechrau cludo nawr!
Click on the 'Complete Configuration' button to finish the configuration of the plug-in and start offering UPS shipping services on your website.,Cliciwch ar y botwm 'Cyfluniad Cyflawn' i orffen cyfluniad yr ategyn a dechrau cynnig gwasanaethau cludo UPS ar eich gwefan.
"If you are new to UPS, please refer to the following FAQs for additional information:","Os ydych chi'n newydd i UPS, cyfeiriwch at y Cwestiynau Cyffredin canlynol am wybodaeth ychwanegol:"
"1) How do I get more information about my new UPS shipping account?<br />If you opened a new UPS shipping account from the plug-in, a confirmation email with more information will be sent to the email address that you entered while creating the new account.","1) Sut mae cael mwy o wybodaeth am fy nghyfrif llongau UPS newydd?<br />Pe baech chi'n agor cyfrif cludo UPS newydd o'r ategyn, bydd e-bost cadarnhau gyda mwy o wybodaeth yn cael ei anfon i'r cyfeiriad e-bost y gwnaethoch chi ei nodi tra creu cyfrif newydd."
2) How do I prepare my packages for UPS collection or drop off to a UPS Access Point™?<br />Refer to the package preparation recommendations at this link - <a href='https://www.ups.com/%1/%2/services/individual-shipper/preparing-to-ship.page' target='_blank'>https://www.ups.com/%1/%2/services/individual-shipper/preparing-to-ship.page</a>,2. Sut mae paratoi fy mhecynnau ar gyfer casglu UPS neu eu gollwng i leoliad Pwynt Mynediad UPS™?<br />Cyfeiriwch at yr argymhellion paratoi pecyn yn y ddolen hon - <a href='https://www.ups.com /%1/%2/services/individual-shipper/preparing-to-ship.page' target='_blank'> https://www.ups.com/%1/%2/services/individual-shipper/preparing -to-ship.page</a>
3) How do I give my packages to UPS?<br />You can drop you packages at any authorized UPS location such as a UPS Access Point™. Click below to search for a convenient access point location near you.,3. Sut mae rhoi fy mhecynnau i UPS?<br />Gallwch ollwng eich pecyn mewn unrhyw leoliad UPS awdurdodedig megis lleoliad Pwynt Mynediad UPS™. Cliciwch isod i chwilio am leoliad cyfleus yn eich ardal chi
"You can also ask UPS to pickup packages from your warehouse or business address. If you need an occasional pickup, you can directly schedule a pickup from UPS.COM using this link - <a href='https://wwwapps.ups.com/pickup/schedule?loc=%1' target='_blank'>https://wwwapps.ups.com/pickup/schedule?loc=%1</a>","Gallwch hefyd ofyn i UPS godi pecynnau o'ch warws neu'ch cyfeiriad busnes. Os oes angen codiad achlysurol arnoch, gallwch drefnu sesiwn codi o UPS.COM yn uniongyrchol gan ddefnyddio'r ddolen hon - <a href='https://wwwapps.ups.com/pickup/schedule?loc=%1' target='_blank' > https://wwwapps.ups.com/pickup/schedule?loc=%1</a>"
"If you have UPS packages on most business days and would prefer a regular UPS pickup, you can email a completed and signed Pickup form to the following email address - konto@ups.com. Then a UPS representative will be in touch with you to discuss a daily UPS pickup.","Os oes gennych becynnau UPS ar y rhan fwyaf o ddiwrnodau busnes ac y byddai'n well gennych chi gasglu UPS yn rheolaidd, gallwch gysylltu ag UPS trwy ffonio'r rhif ffôn a ddarperir o dan Cwestiynau Bilio <a href='https://www.ups.com/%1/% 2/help-center/contact.page' target='_blank'>yma</a>. Yna bydd cynrychiolydd UPS yn cysylltu â chi i drafod codiad UPS bob dydd."
"If you have UPS packages on most business days and would prefer a regular UPS pickup, you can contact UPS by calling at the phone number provided under Billing Questions <a href='https://www.ups.com/%1/%2/help-center/contact.page' target='_blank'>here</a>. Then a UPS representative will be in touch with you to discuss a daily UPS pickup.","Os oes gennych becynnau UPS ar y rhan fwyaf o ddiwrnodau busnes a bod yn well gennych chi gasglu UPS yn rheolaidd, cyfeiriwch at y ddolen hon am gyfarwyddiadau ar amserlennu codiadau dyddiol: <a href='https://www.ups.com/us/en/shipping/services /value-added/daily-pickup.page' target='_blank'> https://www.ups.com/us/en/shipping/services/value-added/daily-pickup.page</a>"
4. What steps do I need to take to set up a UPS Collect on Delivery (COD) service?<br />You can contact UPS by calling at the phone number provided under Billing Questions <a href='https://www.ups.com/%1/%2/help-center/contact.page' target='_blank'>here</a>. Then a UPS representative will be in touch with you to discuss the COD service.,4. Pa gamau sydd angen i mi eu cymryd i sefydlu gwasanaeth UPS Collect on Delivery (COD)?<br />Gallwch gysylltu ag UPS drwy ffonio'r rhif ffôn a ddarperir o dan Cwestiynau Bilio <a href='https://www .ups.com/%1/%2/help-center/contact.page' target='_blank'>yma</a>. Yna bydd cynrychiolydd UPS yn cysylltu â chi i drafod y gwasanaeth COD.
4) What steps do I need to take to set up a UPS Collect on Delivery (COD) service?<br />You can email a completed and signed COD form to the following email address - konto@ups.com. Then a UPS representative will be in touch with you to discuss the COD service.,"4. Pa gamau sydd angen i mi eu cymryd i sefydlu gwasanaeth UPS Collect on Delivery (COD)?<br />Os oes gennych ddiddordeb mewn defnyddio gwasanaethau UPS Collect on Delivery (COD), cyfeiriwch at y ddolen hon am fanylion: < a href='https://www.ups.com/%1/%2/shipping/services/value-added/cod.page' target='_blank'> https://www.ups.com/%1 /%2/shipping/services/value-added/cod.page</a>"
